epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,13906.5,0.59925,0.41922,0.96128,0.8336,0.78906,0.79914,0.68723,0.6307,0.83295,0.98128,0.004456,0.004456,0.004456
86,14069.6,0.59405,0.41646,0.9591,0.83353,0.79002,0.79887,0.68721,0.62951,0.83101,0.9806,0.00439,0.00439,0.00439
87,14232.5,0.58784,0.41681,0.96054,0.83138,0.79104,0.7991,0.68818,0.62882,0.82955,0.98064,0.004324,0.004324,0.004324
88,14395.6,0.58904,0.41283,0.95886,0.83173,0.79082,0.79902,0.68829,0.62828,0.8289,0.98065,0.004258,0.004258,0.004258
89,14558.8,0.58629,0.40988,0.95755,0.83439,0.78812,0.79885,0.6884,0.62715,0.82899,0.9798,0.004192,0.004192,0.004192
90,14721.8,0.58044,0.40401,0.95339,0.83613,0.78692,0.79902,0.68901,0.62625,0.8284,0.97955,0.004126,0.004126,0.004126
91,14884.9,0.58064,0.40466,0.95429,0.83625,0.78731,0.79685,0.68814,0.62554,0.82746,0.9791,0.00406,0.00406,0.00406
92,15048.1,0.57743,0.40506,0.95433,0.83681,0.78694,0.79747,0.68895,0.62531,0.8276,0.97919,0.003994,0.003994,0.003994
93,15211.5,0.5709,0.40203,0.95184,0.83667,0.7873,0.79758,0.68942,0.62532,0.82768,0.97929,0.003928,0.003928,0.003928
94,15374.6,0.57075,0.39836,0.94815,0.83681,0.78705,0.79718,0.68988,0.62502,0.82842,0.97921,0.003862,0.003862,0.003862
95,15537.5,0.56749,0.39578,0.95034,0.83786,0.78638,0.7974,0.69024,0.62454,0.82829,0.97895,0.003796,0.003796,0.003796
96,15700.8,0.56774,0.39161,0.9483,0.8371,0.78751,0.79744,0.69085,0.62411,0.82812,0.97885,0.00373,0.00373,0.00373
97,15863.7,0.56205,0.38945,0.9456,0.83772,0.78719,0.79747,0.69056,0.62385,0.83002,0.97879,0.003664,0.003664,0.003664
98,16026.7,0.55767,0.38276,0.94363,0.83751,0.7872,0.79743,0.69059,0.62324,0.83037,0.9786,0.003598,0.003598,0.003598
99,16190,0.55628,0.3808,0.94362,0.83766,0.78723,0.79731,0.69087,0.62228,0.83038,0.9781,0.003532,0.003532,0.003532
100,16353.3,0.55708,0.38732,0.9439,0.8384,0.78706,0.79684,0.69001,0.62164,0.82974,0.9779,0.003466,0.003466,0.003466
101,16516.5,0.55114,0.38081,0.94103,0.83758,0.78761,0.79726,0.69005,0.62147,0.82922,0.97786,0.0034,0.0034,0.0034
102,16679.9,0.55226,0.38061,0.94283,0.83733,0.7881,0.79734,0.69016,0.62072,0.82887,0.97779,0.003334,0.003334,0.003334
103,16843.1,0.54508,0.37661,0.94084,0.83732,0.78791,0.79741,0.69003,0.62055,0.82834,0.97797,0.003268,0.003268,0.003268
104,17006.3,0.5448,0.37338,0.93975,0.83575,0.78889,0.79685,0.69014,0.62038,0.82831,0.97811,0.003202,0.003202,0.003202
105,17169.4,0.54684,0.37143,0.94121,0.83393,0.79046,0.79659,0.69003,0.62026,0.8268,0.97832,0.003136,0.003136,0.003136
106,17332.5,0.54143,0.37093,0.93762,0.83419,0.79011,0.79622,0.68978,0.61957,0.82666,0.97824,0.00307,0.00307,0.00307
107,17495.7,0.53844,0.37136,0.93672,0.83422,0.78974,0.79656,0.68988,0.6189,0.82558,0.97833,0.003004,0.003004,0.003004
108,17659.1,0.5334,0.36435,0.93479,0.83415,0.78967,0.79676,0.6902,0.61852,0.8256,0.97838,0.002938,0.002938,0.002938
109,17822.1,0.52883,0.36164,0.9327,0.83378,0.7896,0.79636,0.69014,0.61763,0.82566,0.97822,0.002872,0.002872,0.002872
110,17985,0.53266,0.36334,0.93676,0.83371,0.7893,0.79655,0.69076,0.61686,0.82636,0.97795,0.002806,0.002806,0.002806
111,18148.1,0.52417,0.35749,0.93215,0.83882,0.78732,0.79631,0.69107,0.61605,0.82559,0.9776,0.00274,0.00274,0.00274
