epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,14949.4,0.52762,0.38784,1.00865,0.92484,0.92881,0.95002,0.88982,0.37336,0.27816,0.87426,0.00505,0.00505,0.00505
77,15145.9,0.52467,0.38079,1.00652,0.92597,0.92876,0.95077,0.89199,0.37174,0.27558,0.87157,0.004984,0.004984,0.004984
78,15342.2,0.52629,0.38111,1.01243,0.94102,0.91036,0.9505,0.89145,0.36754,0.27764,0.87125,0.004918,0.004918,0.004918
79,15538.5,0.52717,0.38189,1.01032,0.94239,0.91562,0.95192,0.89354,0.36307,0.27679,0.86855,0.004852,0.004852,0.004852
80,15734.9,0.51908,0.37649,1.00198,0.92922,0.91978,0.94906,0.89481,0.36052,0.27679,0.86398,0.004786,0.004786,0.004786
81,15931.4,0.51432,0.36849,1.00043,0.94455,0.90718,0.95098,0.89561,0.35496,0.26898,0.86276,0.00472,0.00472,0.00472
82,16127.9,0.50623,0.36904,0.99533,0.94512,0.90994,0.95061,0.89633,0.35215,0.26771,0.86426,0.004654,0.004654,0.004654
83,16324.2,0.50967,0.36634,0.99524,0.9385,0.91766,0.94702,0.89462,0.35356,0.26902,0.86498,0.004588,0.004588,0.004588
84,16520.6,0.51163,0.37297,1.00517,0.93491,0.92249,0.94765,0.89674,0.35138,0.2648,0.86466,0.004522,0.004522,0.004522
85,16717,0.50323,0.36512,0.99949,0.93186,0.92255,0.94737,0.89674,0.34829,0.26691,0.86526,0.004456,0.004456,0.004456
86,16913.6,0.50168,0.36324,1.00276,0.93707,0.91761,0.94818,0.89735,0.34544,0.26469,0.86391,0.00439,0.00439,0.00439
87,17110,0.49499,0.35994,0.99693,0.93826,0.91842,0.94815,0.89741,0.34647,0.26394,0.86416,0.004324,0.004324,0.004324
88,17306.3,0.4989,0.35655,0.99571,0.92881,0.92622,0.94772,0.89819,0.34296,0.26395,0.86113,0.004258,0.004258,0.004258
89,17502.7,0.49487,0.35343,0.99378,0.92274,0.93239,0.94614,0.89696,0.34504,0.26952,0.86133,0.004192,0.004192,0.004192
90,17699.2,0.49098,0.34698,0.99076,0.93117,0.92721,0.94575,0.8985,0.34006,0.27192,0.85758,0.004126,0.004126,0.004126
91,17895.5,0.48964,0.34902,0.99012,0.9303,0.92814,0.94739,0.89989,0.33947,0.2681,0.85746,0.00406,0.00406,0.00406
92,18091.7,0.48427,0.3523,0.99181,0.92755,0.92457,0.94582,0.8995,0.33977,0.26929,0.85872,0.003994,0.003994,0.003994
93,18288.2,0.488,0.34656,0.99058,0.94447,0.92094,0.94663,0.89891,0.33938,0.26896,0.85878,0.003928,0.003928,0.003928
