epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,9679.76,0.7003,0.55835,1.0703,0.88277,0.90445,0.9105,0.81532,0.56326,0.48384,0.98578,0.006436,0.006436,0.006436
56,9854.75,0.70376,0.55648,1.07081,0.88603,0.90046,0.91023,0.81486,0.5628,0.48296,0.98574,0.00637,0.00637,0.00637
57,10030.3,0.69771,0.5492,1.06635,0.87437,0.90328,0.90809,0.81346,0.56272,0.48379,0.98497,0.006304,0.006304,0.006304
58,10205.3,0.69812,0.54814,1.06669,0.88025,0.90132,0.90849,0.81353,0.56148,0.48383,0.98365,0.006238,0.006238,0.006238
59,10380.9,0.69675,0.54676,1.06848,0.88099,0.90014,0.90837,0.81467,0.55927,0.48217,0.98277,0.006172,0.006172,0.006172
60,10556.3,0.69445,0.54732,1.06609,0.8907,0.89524,0.9103,0.81537,0.55724,0.47883,0.98096,0.006106,0.006106,0.006106
61,10732,0.68958,0.53526,1.06302,0.88818,0.89682,0.91209,0.81681,0.55484,0.47521,0.97885,0.00604,0.00604,0.00604
62,10907.5,0.69361,0.5376,1.06356,0.87263,0.9132,0.91246,0.8188,0.55444,0.47236,0.97892,0.005974,0.005974,0.005974
63,11082.8,0.68824,0.53836,1.06239,0.88941,0.89793,0.91395,0.81994,0.55514,0.4723,0.97889,0.005908,0.005908,0.005908
64,11258.2,0.68123,0.53082,1.05971,0.88827,0.89724,0.91344,0.82078,0.55405,0.47469,0.9786,0.005842,0.005842,0.005842
65,11433.6,0.68541,0.53412,1.05752,0.88975,0.89443,0.91284,0.82136,0.55328,0.47517,0.97798,0.005776,0.005776,0.005776
66,11610.2,0.68759,0.53261,1.06111,0.89004,0.89523,0.91287,0.82126,0.55188,0.47581,0.9778,0.00571,0.00571,0.00571
67,11786.8,0.67733,0.52633,1.05476,0.88796,0.89807,0.91218,0.8221,0.55144,0.47754,0.97764,0.005644,0.005644,0.005644
